date,portfolio_return,long_count,short_count,long_mean_pred,short_mean_pred,total_stocks,long_permnos,short_permnos
2010-01-31,-0.03969760173999999,50,50,0.03101826521041373,-0.024751533304954963,869,"61241,79977,82540,79678,90558,90993,10302,66384,10182,91849,88504,86158,91854,75224,12074,80032,83822,86926,19675,27043,81540,82298,42550,89431,82307,76605,89952,92709,77702,65293,69649,87006,66800,90756,10516,90547,76138,78170,92257,10143,79879,90829,76639,88352,26470,90763,67467,85208,77175,19561","44951,71563,34032,52936,66157,90601,24643,76226,76123,58318,77462,79323,85593,80072,91109,46690,86102,84827,70228,47896,15202,87842,23501,82775,90505,23916,90914,91937,12060,77661,59408,37234,54148,51706,90988,70519,91926,38703,75573,42906,86759,86719,92421,21020,89195,70923,83541,11891,17778,90162"
2010-02-28,0.042697831391999994,50,50,0.03147718392183159,-0.019055842115275123,871,"79977,61241,79678,90993,82540,10302,91975,92121,90558,90829,10182,11644,91103,78170,89952,92257,23297,85032,92621,19675,87299,85753,47941,87006,90763,86158,90547,88853,92293,79879,12074,66800,88352,82775,90550,77702,87056,91849,50278,53480,26470,76639,58975,78840,60186,65293,88897,45911,32707,67467","12060,39538,86228,80303,15553,92640,89195,37234,11891,78829,23501,86820,76123,90601,77264,16432,44951,86881,90988,88989,79859,42585,47896,85724,66245,52708,76744,23975,78877,84624,85991,15318,70519,59408,83862,38703,87842,86759,77661,70228,90914,80924,92421,86102,66325,54148,11850,87800,17778,83541"
2010-03-31,-0.00791219361999998,50,50,0.03343912953358939,-0.02429168048256332,873,"61241,91103,82540,91854,82643,66800,76129,90162,90993,90558,78170,19561,69649,89952,77182,79879,86964,90277,10182,76697,90609,86158,78875,75858,66384,88352,90763,91849,92709,22752,68340,86783,90550,76695,81540,91071,90044,76708,88504,89901,83822,89431,27043,48506,79588,82298,89971,87056,15721,75573","89301,76123,76230,58246,83976,70519,12060,92640,90914,11891,15318,10145,82196,85593,86759,38703,81776,86820,83862,80303,64995,89195,11850,15202,86791,90601,90925,87612,76565,84624,76644,52708,54148,14702,75828,87842,89216,80795,47896,52716,70033,51706,17778,83541,59408,92421,70228,77661,91937,79977"
2010-04-30,-0.05009106326799999,50,50,0.03813280198922981,-0.034657048137017664,876,"31974,61241,92890,64486,82540,87092,90044,86783,89952,77584,86964,91103,10693,88811,11403,87299,76697,22752,82307,88352,81540,68340,90550,23229,48274,86158,81696,85032,87492,91547,89971,82643,81061,77421,78170,79411,25582,24440,19561,90763,88436,91152,87006,84563,21371,92621,76708,91849,92293,76625","24272,90849,86804,88313,86881,79323,91143,14795,12060,81776,87785,84129,77605,85231,16505,15202,85913,76123,24643,71175,91275,70033,34032,52708,91937,54148,80303,16432,76644,84342,75573,34746,51706,42906,11891,70228,90162,89195,38703,90988,47896,86249,87842,83862,17778,90505,59408,80924,70519,66800"
2010-05-31,0.07281076087399999,50,50,0.0324048157858072,-0.03477779173170398,876,"61241,82540,92890,76697,89952,79244,78875,76638,86783,81540,90044,90550,82643,85032,90993,79879,91152,53866,89901,91849,76625,84563,82307,48653,76695,22752,19561,76841,87299,91547,48506,92640,81061,23501,85753,75320,91103,89813,91233,67467,21371,89431,81481,45241,79411,77182,48274,81696,76605,89393","77605,91143,89805,91937,88313,84342,85913,24643,70228,85231,23579,89533,91277,57809,12060,21020,76644,91575,24272,86804,84129,90162,38703,86881,20626,34746,83862,16432,51706,47896,86759,52708,47941,90988,16505,64486,17778,42906,89195,88335,66800,75573,31974,87842,70519,90505,59408,79977,11891,88811"
2010-06-30,0.05180710055999999,50,50,0.03195998290641082,-0.03228138769203437,882,"91103,61241,76605,88335,76697,92640,79879,90550,89204,83111,24221,80791,81540,81128,23501,91547,76841,77418,81912,89431,76625,88504,88446,91849,76614,32986,79641,85753,75320,46877,24440,88031,82486,81061,48274,15553,88590,47626,76838,84563,25320,85517,82618,60186,23393,48653,13688,26470,88924,19393","90505,78963,76638,86525,34746,86881,79244,75326,70228,40416,14593,26382,86868,47896,87137,76123,75510,79588,89353,86958,76744,89636,30680,11786,34032,78877,17778,89195,52708,76804,58318,76644,42906,49015,90287,24643,64961,86759,81776,91116,66800,84792,87054,90162,66325,59408,70519,86249,79977,88811"
2010-07-31,-0.038577750234000036,50,50,0.030747012761186632,-0.030206992552750653,882,"91103,88335,75070,82618,24221,76605,85753,89204,75320,91547,85517,81540,77461,77418,67467,75257,78139,17743,89399,91493,52936,76841,81912,90550,77730,76625,47626,21371,15553,85232,76838,32986,85863,85032,61241,81128,89876,82643,83111,82486,23501,15456,16600,89952,86590,91071,12503,88590,86946,44329","75510,66800,80924,54148,86868,75828,58318,92221,78877,10302,84172,77178,11081,34032,86525,70228,77264,88313,84827,11786,90756,40416,17778,79588,91892,86783,84262,91575,14593,81776,52708,26382,68144,90199,86759,24643,58755,86719,89508,76123,84792,90287,70519,76744,87054,66325,76644,59408,79977,88811"
2010-08-31,0.04761217492199999,50,50,0.0317924808180605,-0.034756431942531585,879,"91493,85271,85517,81540,89204,85319,88335,13507,89952,24221,89393,63773,77418,85753,19393,42585,32870,90550,75320,76838,83111,87267,17743,77649,85032,39087,46877,81128,25320,92640,71271,86946,76841,90609,89431,89805,89399,91547,88590,21371,76625,53866,32986,52936,81912,48653,81481,21207,23501,86590","91277,16432,15202,34032,20626,90199,14593,91109,90849,17778,46886,90180,75326,70228,54148,51706,90547,90505,37234,23579,88313,81776,78877,76744,90287,86249,49015,11786,24643,26382,91575,52708,76123,16505,84827,70519,86759,86719,59408,58318,91103,87054,21020,76644,66800,47941,84792,92421,79977,88811"
2010-09-30,-0.019824815473999988,50,50,0.029300394294648483,-0.0335425490264248,882,"91493,84827,24221,66683,75320,81540,89002,66384,89399,90550,87267,12503,81073,82307,82618,21207,85319,23501,85753,91937,85032,82486,48653,89485,84563,15579,81925,91066,26470,88335,50876,25099,39087,77649,81912,92530,76625,89204,38906,88924,76838,76841,90992,19393,70500,28804,92293,86590,79686,89952","76744,88313,52230,40416,54148,34032,78875,79588,25081,34746,56937,66157,71563,68144,64995,87054,58318,86783,49015,76712,26382,47896,90162,21020,91575,38703,35044,76123,90988,76644,90505,90164,42906,11891,70228,51706,80924,20053,84129,17778,59408,86719,52708,70519,16505,92421,75175,91892,66800,88811"
2010-10-31,-0.002352549459999999,50,50,0.02833268003713674,-0.024250058831760558,879,"84827,66800,24221,89485,89002,12503,85032,76625,81540,53866,90550,89204,92530,85753,91531,39087,48653,48506,10693,50876,76614,28804,89217,82307,88853,83799,39642,76841,89244,90071,76697,23501,85232,91116,38906,90609,83699,84168,89353,81925,25099,87267,89399,92293,77274,89565,76282,13901,81481,76605","86759,11786,78875,76123,40416,91277,77281,92451,84597,16505,75510,75034,89617,24643,91493,12060,90988,20626,70923,75224,84172,87054,84792,11891,14593,90386,51706,92765,59408,58318,52708,26382,76744,90164,77976,88313,91103,86783,79906,91892,76081,76644,86719,76804,27422,17778,21020,87013,92421,88811"
